Crop_Type,Soil_Moisture,Soil_Temp,pH,MQ135_Gas,Ambient_Temp,Ambient_Humidity,SW420_Vibration,ESP32_Voltage,ESP32_RSSI,ESP32_Battery,Soil_Health,Crop_Risk,Irrigation_Req
Ragi,93.36093388583974,24.218750532739804,6.3087824678255595,346.7397276522702,27.12592157975824,98.0,100.55461688671548,3.325033363303073,-59.276212452843346,54.172227217178815,Degraded,High,No Irrigation
Rice,73.52550654157062,28.863621920388276,4.99492596679271,186.52740165105538,29.508616082728476,80.25919645917571,2.810450948981873,3.5764832207431287,-83.4735447901067,96.08053679052146,Good,Low,No Irrigation
Rice,68.57890375379972,37.49186110722782,5.186981459972653,425.8039854331254,36.928196289411694,92.10972537769565,11.888990562503507,3.465293489176948,-67.35748871301476,77.54891486282463,Good,Medium,No Irrigation
Wheat,23.184604084714465,18.956954219765937,7.178406950804193,203.3573881540595,23.20404847721874,89.76953864801997,4.432681727306178,3.5444440860743973,-50.07566144547233,90.74068101239956,Excellent,Medium,Light Irrigation
Ragi,26.921433655163028,20.014214768553494,7.610380434542552,194.67397200701328,22.179879909589694,96.42790888020328,11.303567193338644,3.3251899257145503,-67.24277717524417,54.19832095242505,Excellent,Low,No Irrigation
Wheat,83.87325364539792,8.0,6.980773513704292,226.61280685538682,12.0,98.0,10.915183783024483,3.3998040440926665,-69.87250022649243,66.63400734877774,Degraded,High,No Irrigation
Rice,10.72243147530607,42.25161861227266,6.291421984584679,279.38563168714654,45.59703083158191,73.70313889690607,9.67196354171731,3.42048801755561,-62.266972804247196,70.08133625926834,Degraded,High,Heavy Irrigation
Ragi,94.58476961650445,27.75328149816041,6.7176810474467334,229.29810936260614,28.536579968801732,98.0,5.600904889928333,3.48238518149747,-49.856151967687644,80.3975302495783,Degraded,High,No Irrigation
Rice,36.715655641517856,16.52033435879546,5.361970700676291,239.37504362825075,19.527923267591436,98.0,10.560584819583475,3.457371774886175,-56.73290299750718,76.22862914769584,Degraded,High,Heavy Irrigation
Wheat,59.05547097654822,27.040213967239243,7.2772439945108625,302.2488873751122,31.600787523425282,88.13369918369334,5.254223052803075,3.5112218522006526,-79.8222875013403,85.20364203344211,Excellent,Medium,No Irrigation
Rice,58.8382389925035,29.920787517084396,5.805798068145457,196.07295829585559,29.647954786139806,98.0,10.918671622395088,3.4457594185763654,-58.61922334752492,74.29323642939423,Excellent,Medium,Light Irrigation
Sugarcane,71.26098730112987,26.188042540347073,7.040261705367145,264.16594663087363,31.20531812429116,79.17466428411215,1.5344138568433348,3.4902501168107767,-45.2404953093831,81.70835280179611,Excellent,Low,No Irrigation
Coconut,79.46963909984558,28.985440114893294,5.532246890663771,155.61395863445296,26.452530367125714,98.0,3.674493215860447,3.4129558882015756,-56.37361625642943,68.82598136692927,Good,Medium,No Irrigation
Wheat,65.0902175807371,8.464265767237276,9.119778838291003,263.60085190597965,12.0,98.0,9.986544448828298,3.366526262064386,-52.88298274623962,61.08771034406435,Degraded,Medium,No Irrigation
Wheat,35.71338389628872,30.694684070315684,6.016657458564816,148.18328679758918,34.44278312216157,82.40098634893744,9.588732843960223,3.5693804750231117,-83.70557612895871,94.89674583718529,Excellent,Medium,No Irrigation
Sugarcane,32.425664850019146,40.34160805058845,6.146286271132295,191.924991366083,42.361440662793434,68.98113582830507,1.0838715745207863,3.2635392243187296,-79.88511209932663,43.923204053121594,Good,High,Heavy Irrigation
Coconut,68.12316689117813,21.159261282522888,8.012484181347284,167.1468922722136,27.043804932222443,93.4355926339018,71.68822651352009,3.380186963788901,-84.14800219370127,63.3644939648168,Excellent,High,No Irrigation
Wheat,71.91144485958009,8.0,9.16725041065238,164.82496381710905,12.0,98.0,1.469389999745395,3.4392581629261656,-72.32140843719293,73.2096938210276,Degraded,Medium,No Irrigation
Sugarcane,15.869689884129857,22.48858547017862,9.127557549813892,352.6426065971564,24.774349022156443,87.61192140631834,2.2027595890554053,3.3556042420805614,-79.19309147259666,59.26737368009357,Degraded,High,Heavy Irrigation
Wheat,62.3115284400219,29.650457691311324,8.244221137743466,159.05585513846893,35.14532944822394,79.74104345708274,6.689406046172155,3.4245686092655023,-66.90434627707069,70.76143487758372,Good,Medium,No Irrigation
Wheat,80.22706542545099,21.87076683312974,5.202259568159731,261.77210977544496,19.828383594298224,97.72879989670574,4.045610731906976,3.5132965392413786,-70.24633066585425,85.54942320689645,Degraded,High,No Irrigation
Sugarcane,73.98206816516512,40.922894725558564,7.678403095147073,364.45365484750386,43.66504781109391,77.17645445669861,5.194226992688304,3.3867000147644233,-43.1717378771924,64.45000246073722,Good,Medium,No Irrigation
Coconut,28.426660916049432,37.6664708458237,7.304679960022224,352.82340660439417,38.83242161555493,75.84017829071684,6.425078879690813,3.541046395802696,-79.10683290207754,90.17439930044935,Good,Medium,Heavy Irrigation
Coconut,55.230787084992656,24.27914924564607,5.2633988351326675,335.7655283084861,23.0916483482876,98.0,11.441409465075004,3.4256979737274573,-67.71974385769877,70.94966228790955,Good,Low,No Irrigation
Ragi,93.65342893050493,18.67230487084544,8.067699680514389,262.5308761558317,17.677789580488152,98.0,83.76750160796577,3.371624566822338,-71.68283645478064,61.937427803723025,Degraded,High,No Irrigation
Coconut,20.51341319251317,27.170659984596558,4.567858455678623,351.77971599853333,30.86274732316195,88.13680092395174,10.81862800092309,3.425996711562889,-67.78939293449193,70.99945192714819,Good,High,Heavy Irrigation
Coconut,88.0138326544377,27.368425952085314,8.937088775403753,424.9915446780816,29.25786415859465,91.58479754543089,6.300424139396485,3.3412043140836505,-75.26931554867838,56.867385680608415,Good,High,No Irrigation
Rice,33.89729352665148,20.774881758548158,6.177754810920903,289.00789020734095,23.305177406569936,98.0,8.759126751538847,3.539562825209781,-54.68397877617088,89.9271375349635,Degraded,High,Heavy Irrigation
Coconut,37.49932505400575,33.20500503403608,7.026258836438597,142.50767729633594,33.03640015898758,82.91919508778946,5.416750434021168,3.2740377430515206,-69.74531757003707,45.67295717525344,Excellent,Medium,Light Irrigation
Sugarcane,18.224910553898162,29.43690459264598,6.558481631626191,233.9076353949593,32.21109757754249,82.17119131784341,10.966998047628607,3.30469799095376,-46.36532624861191,50.78299849229333,Degraded,High,Heavy Irrigation
Sugarcane,54.6300868515586,37.07398328923505,4.115322297708552,485.21165702475287,38.4740322387857,92.83982908117285,6.489739024059928,3.256921704166377,-58.19084982017715,42.82028402772949,Degraded,High,No Irrigation
Ragi,35.80254790942968,18.032284223903734,4.415276039341779,169.13685512385237,17.49228702911598,98.0,9.783455599643045,3.2709173934153064,-60.19012526384644,45.15289890255107,Good,High,No Irrigation
Rice,60.451849445409316,17.151519801718184,7.025270603619568,129.80689558594077,21.348049756443807,98.0,9.46309132873599,3.3832056209439045,-65.31663213246118,63.86760349065076,Excellent,Medium,Light Irrigation
Ragi,46.50411620571454,22.69249571103127,6.880829345223777,161.48256529874206,30.846216451392277,85.78245219510868,2.4010923963669697,3.4559368763115668,-67.54697051413689,75.98947938526112,Excellent,Medium,No Irrigation
Rice,18.70431323615646,41.998073076248815,5.643501275333379,191.93010606720915,44.4248454948173,69.00664017323274,81.09224944447102,3.2729479860430892,-77.87011685012286,45.49133100718154,Degraded,High,Heavy Irrigation
Sugarcane,10.66301517194458,39.02367317709543,7.1440620959344585,239.75302968765288,40.427369185664446,65.86733265064699,11.697683204788525,3.19500371468175,-47.46651769374028,32.50061911362501,Degraded,High,Heavy Irrigation
Ragi,67.44165749096497,13.815315151069322,5.054030859043754,191.68106270215972,19.430532166607847,98.0,1.2838788501035419,3.2342202305500463,-77.35527061776288,39.03670509167438,Good,High,No Irrigation
Rice,60.30729021629591,26.653657694798625,6.508175472087323,248.72779721463831,28.796611578579355,92.13966791461566,6.253809405725438,3.319326162418951,-84.17768889687925,53.22102706982517,Excellent,Medium,Light Irrigation
Sugarcane,90.85673055469908,40.77837689415368,7.08011462182436,256.5194186695182,41.5562740562907,78.05064606072963,7.683039087365279,3.34990145506035,-46.08457203179304,58.316909176724984,Good,High,No Irrigation
Sugarcane,97.40153309262186,30.800549380557552,4.995472054638959,220.11152986108962,35.24805240961836,96.43459284573989,6.3604536853975455,3.2976988383403265,-60.541418071108325,49.61647305672109,Good,High,No Irrigation
Wheat,12.867578887717418,25.61601391720229,6.111120830256835,155.93319735911962,25.115640592073735,87.9053135738954,4.5999782352105685,3.2128760546422277,-80.63247104527495,35.47934244037128,Good,High,Heavy Irrigation
Sugarcane,39.9267100897244,45.15535504867515,6.632176604615435,523.8332875657305,43.16698548819937,70.86534462337663,5.421726798286789,3.2861293947301755,-78.12583148530209,47.68823245502926,Good,High,Heavy Irrigation
Wheat,61.930177114299234,12.784522312704487,6.42751594156057,223.09446368217863,12.556960903045699,94.82845442430472,38.056673201251165,3.330351438935247,-50.21712206933416,55.05857315587453,Excellent,Medium,No Irrigation
Ragi,64.40318957183098,27.232839956790194,4.614135076526044,612.1116036103174,29.184374289050808,95.89956848021204,1.54392180347282,3.2613594894201965,-51.752765319196925,43.55991490336608,Degraded,High,No Irrigation
Wheat,56.72087004826257,21.818096678651713,6.401397981654265,220.16061136997956,23.16947583941283,98.0,5.287514563897125,3.4454517094111043,-83.12849301096777,74.2419515685174,Excellent,Medium,No Irrigation
Rice,93.01486339558676,19.72421722598376,4.523497875904811,976.7889101879557,21.556315041771228,98.0,2.3601743744867427,3.318927729095312,-42.26108074924065,53.154621515885346,Degraded,High,No Irrigation
Ragi,53.50898681382717,18.478217261112,6.726904549525776,429.3800013768305,19.97269075091963,98.0,5.789797417922391,3.263622161147743,-69.27485616473672,43.937026857957164,Good,Medium,No Irrigation
Rice,39.548024261581105,25.328762960294778,7.1404795808262005,263.75283072799715,30.230386843122123,85.69012920332233,7.492146826036999,3.547416358185808,-55.641542077195226,91.23605969763464,Degraded,High,Heavy Irrigation
Ragi,20.287027582336037,30.707473357247476,6.859949970485543,201.73770674044192,32.477253969401,83.43111555817802,1.7347678498838919,3.3401816345313504,-53.66814361147601,56.69693908855841,Excellent,Low,No Irrigation
Wheat,80.18512140271982,8.0,5.607037717326655,173.6001711970561,12.0,98.0,8.53516626176214,3.273628077181431,-78.9636343537369,45.6046795302385,Degraded,High,No Irrigation
Sugarcane,46.24339476955066,32.59814542495384,6.444301056806472,270.7306893575393,32.58300880885845,83.31644921990109,10.472546676879977,3.3091313197542775,-78.39292578056008,51.52188662571293,Excellent,Medium,Light Irrigation
Sugarcane,63.51282907653998,35.07607830868561,7.9404352931927304,680.4459971189731,38.44025393992877,82.70541306184008,5.37275824455608,3.4654548631805038,-60.219058283253894,77.57581053008397,Degraded,Medium,No Irrigation
Rice,88.54588346269584,18.75755861317486,4.934449493987417,138.70778993773695,22.22070010521367,98.0,7.099494670287635,3.427882847407239,-51.39808024648134,71.31380790120649,Good,Low,No Irrigation
Ragi,58.56780181215473,32.200445746299714,5.724477036231108,161.62880948253294,30.823435370162713,82.94128607203854,5.441322715261812,3.33802593802305,-48.06960774695183,56.33765633717499,Good,Medium,No Irrigation
Wheat,83.54126554351262,17.325175550883884,5.674717609152335,203.13264126090132,17.303343119830714,98.0,9.543129687245546,3.520243792633643,-44.04807658753729,86.70729877227383,Degraded,High,No Irrigation
Ragi,13.026189858139219,23.48428992831093,7.618117058646341,153.8451923632545,24.11173165680076,98.0,10.107032683639707,3.368699947597825,-57.258428865644,61.449991266304174,Excellent,Medium,Light Irrigation
Rice,64.14053406018706,18.890815135307722,4.585479422997757,204.97401028415013,21.34718841697382,98.0,10.492365805947275,3.4544186947503555,-41.757887989612364,75.73644912505925,Good,High,Light Irrigation
Sugarcane,87.908735797224,40.49430418300965,7.7826599154539515,199.47104374308742,42.37515909473227,73.39408344774517,11.606793178264672,3.338147320862242,-58.29076864720763,56.35788681037365,Good,Medium,No Irrigation
Ragi,70.886777396957,21.890275102041084,5.842106725001602,207.2167242122986,23.289343204599675,94.43116530846783,11.365679444285407,3.3552007752891693,-80.51066481828398,59.200129214861555,Degraded,High,No Irrigation
Ragi,74.0806105459171,18.12570338999206,7.414736385314679,286.78571390830035,21.076880261849226,98.0,7.693550742678651,3.282846166326495,-60.81993288206151,47.141027721082494,Degraded,High,No Irrigation
Wheat,60.78976050976152,16.114353689666817,7.544376713702433,677.4773533356612,19.21166455186883,98.0,7.074597958507487,3.266874447611485,-81.05341629496017,44.479074601914135,Degraded,Medium,No Irrigation
Wheat,65.73451271146055,17.763145674535345,7.425096650554232,881.4385225490037,19.0827171078477,98.0,8.44276270437021,3.305908482537413,-66.43292665896348,50.98474708956887,Degraded,Medium,No Irrigation
Wheat,86.57596997904388,21.090709659491235,6.576091960768365,444.25023107266577,22.680759325071136,98.0,4.743983935061851,3.486151823196114,-67.50298875487283,81.02530386601899,Degraded,High,No Irrigation
Rice,85.48299882049135,23.819004582737392,5.853504666714132,318.8416743031239,21.549641271975204,98.0,1.1469852836101653,3.245145599556926,-62.91501282860206,40.85759992615431,Excellent,Low,No Irrigation
Ragi,81.91555361770699,30.055277639108375,8.46499250485773,163.90740961220308,32.39130832017343,98.0,10.145582841233423,3.365602241283493,-69.98283181858932,60.93370688058219,Degraded,High,No Irrigation
Sugarcane,42.850471506018884,36.653075520317046,6.915838369793537,254.7352044856463,40.59557858218804,67.60970114224558,2.3903407652237254,3.4180624548209764,-45.774527097795115,69.67707580349607,Excellent,Medium,Heavy Irrigation
Ragi,60.011157093521504,18.76512698446442,4.741658041363504,119.09082172690142,19.623846124064194,98.0,1.9749627222453885,3.241254773020403,-53.17881169289411,40.20912883673382,Good,Medium,No Irrigation
Rice,73.85440196144967,22.490936252621026,7.757233697640897,117.060574285504,23.31480159008258,94.9865555772819,5.5222481481363985,3.215257391900023,-54.39757099708575,35.876231983337156,Good,Low,No Irrigation
Ragi,96.81334189378221,22.501157148391606,8.42788634605471,166.05389215734093,21.952692910238014,98.0,9.382788187836983,3.3459778032676892,-60.23063254237958,57.66296721128155,Degraded,High,No Irrigation
Ragi,91.03408567032876,14.678917101552868,8.94391096503188,627.3430096797412,22.515264211673053,98.0,11.664791756564075,3.2378091029941753,-49.94551723451761,39.63485049902923,Degraded,High,No Irrigation
Sugarcane,95.3693170554988,28.982580987608166,5.794791287945346,218.39471819476398,28.842866640988845,98.0,7.980050508280872,3.285810439757965,-53.509038134295665,47.63507329299414,Good,High,No Irrigation
Coconut,73.52150037992187,26.223803423846178,7.379797222321122,210.13158168969198,30.5391245043217,90.49065992547278,5.3321012380519806,3.3459760113510972,-82.35923215024225,57.6626685585162,Excellent,Medium,No Irrigation
Sugarcane,49.88734147571687,24.316844348894204,5.431297768275545,337.02847509334515,25.78601042797742,97.58151965031088,1.2326062859658862,3.2288634243759997,-78.52790921097888,38.14390406266662,Good,Medium,Light Irrigation
Ragi,21.18132511336586,39.19392332946938,5.893359807913565,194.37831245382964,37.15924573322455,75.8873088488978,6.369014862914734,3.5532283668362727,-77.98366706517278,92.20472780604545,Excellent,High,No Irrigation
Coconut,76.78614850189568,19.377856723430973,6.495215020017646,253.89454420697177,21.029270872001348,98.0,11.017341360271834,3.4658734244952143,-48.501614037373486,77.64557074920239,Good,Medium,No Irrigation
Rice,80.22201866690457,30.69304554830877,4.467392136068408,277.12978243449373,31.87772175871984,96.07043277895355,4.7052504442167375,3.2996430875728455,-55.52181676877852,49.940514595474255,Good,High,No Irrigation
Rice,52.43558016315679,33.12671361794828,6.759023294073652,432.3737666733584,34.12667399556258,80.93249638288246,5.704973593805658,3.267377890127869,-81.29717989854547,44.56298168797816,Good,Medium,Heavy Irrigation
Rice,75.86176377933188,20.846506049614234,7.05734737907753,527.2594101312552,23.832350124615537,98.0,7.457777100429118,3.3303076292300093,-82.63590744252866,55.05127153833489,Good,Medium,No Irrigation
Wheat,74.90061825568293,26.38309589537854,6.401560694258721,122.55169122647746,24.63403332227109,98.0,10.035345166011435,3.5312574805885975,-53.83396002346994,88.54291343143291,Good,High,No Irrigation
Ragi,77.71537812089045,27.331121435856286,6.6149991862887,546.459534777347,30.79312268942725,96.21805797146733,2.819409949514949,3.319667248534665,-55.010802363298914,53.277874755777546,Degraded,High,No Irrigation
Coconut,20.21462036519134,21.912370620478967,7.16591398681462,200.89954633023208,27.138247497157572,79.68035550213486,9.745620146151817,3.2910514273370706,-64.6963749322571,48.5085712228451,Good,High,Heavy Irrigation
Rice,95.58634207132192,20.738287962238566,6.375568322145941,393.2773995725574,21.655344711715976,98.0,9.28503725426802,3.2418998292954484,-48.069630924157025,40.31663821590807,Good,Medium,No Irrigation
Wheat,49.55136545124416,28.82285062877825,7.815816217833336,192.36021304475315,31.619172472019827,86.36335397535446,1.3515219235374083,3.538361017742188,-82.60009049275324,89.72683629036464,Excellent,Medium,No Irrigation
Rice,31.182601397127883,41.038723016710115,5.39237451838032,410.435610186654,43.757063842346135,69.18221521207593,7.769821266569352,3.1977557148964517,-70.69494465041677,32.95928581607529,Degraded,High,Heavy Irrigation
Ragi,34.51594983481236,25.332002303753768,6.150213532053832,249.773030628687,29.41212594355892,93.0508573671379,7.260557274996951,3.259238237650225,-64.52267328363376,43.20637294170419,Excellent,Low,No Irrigation
Sugarcane,45.40867298810025,45.819598836544,4.851260251939351,157.70710995253089,43.58159265662754,81.42786418347396,4.135435067292933,3.26979576859414,-41.201626805149466,44.965961432356686,Good,High,Light Irrigation
